game_id,tag_id
dezaemondd,8
fzeroxek,14
kyojinnodoushin1,10
kyojinnodoushin1,11
kyojinnodoushinksccd,1
marioartistcommunicationkit,5
marioartistpaintstudio,12
marioartistpaintstudio,13
marioartistpolygonstudio,4
marioartisttalentstudio,3
nihonprogolftour64,15
randnetdisk,6
randnetdisk,7
simcity64,9
supermario64,2
