game_id,tag_id
hajatofuuin,301
missiledefense3d,348
monopolysms,382
monopolysms,383
mortalkombat,545
mortalkombat2,545
mspacman,520
seishunscandal,419
seishunscandal,420
seishunscandal,422
ninjagaiden,104
olympicgold,379
winterolympicgames,639
winterolympicgames,638
operationwolf,345
outrun,254
outrun3d,261
outruneuropa,284
pacmania,62
paperboy,20
familygames,624
dokidokipenguinlandud,242
pgatourgolf,637
phantasystar,301
pitfighter,545
populous,377
poseidonwars3d,358
aleste,326
powerstrike2,330
predator2,192
princeofpersia,35
dumpmatsumoto,551
psychicworld,187
psychofox,104
puttandputter,595
doubletargetcnm,468
rtype,316
rcgrandprix,625
rainbowislands,109
rambo3,346
rampage,461
rampart,572
rastansaga,20
renegade,485
rescuemission,340
roadrash,285
roadrash,286
roadrash,287
robocop3,193
robocopversustheterminator,188
robocopversustheterminator,191
rocky,547
runningbattle,59
sagaia,321
astrowarrior,337
scramblespirits,492
ashura,478
segachess,539
segaworldtournamentgolf,635
sensiblesoccerec,609
shadowdancer,20
shadowofthebeast,28
shanghai,502
shinobi,200
shootinggallery,342
slapshot,599
slapshot,600
sonicthehedgehog8bit,147
sonicthehedgehog28bit,147
sonicthehedgehog28bit,148
sonicandtails,147
sonicspinball,174
sonicspinball,173
spacegun,345
spaceharrier,361
spaceharrier3d,368
specialcriminalinvestigation,257
speedball,533
speedball,534
speedball2brutaldeluxe,533
kujakuou,163
spidermanvsthekingpin8bit,87
spidermanrotss,88
spidermanrotss,121
spyvsspy,527
spyvsspy,525
starwars,160
starwars,161
stretsofrage,223
streetsofrage2,223
striderhiryuu,109
strider2usg,104
submarineattack,319
summergames,641
superkickoff,507
supermonacogp,568
superoffroad,560
smashtv,480
superspaceinvaders,496
greattennis,509
greattennis,510
supermantmos,75
t2thearcadegame,341
taitochasehq,263
tazmania8bit,82
tecmoworldcup93,611
teddyboyblues,100
teddyboyblues,109
tennisace,512
terminator2judgmentday,9
theaddamsfamily8bit,89
thecybershinobi,104
theflash,14
theflash,16
theflintstonesms,235
theincrediblecrashdummies8bit,394
theincrediblehulk,58
theincrediblehulk,60
thejunglebook,93
thejunglebook,122
thejunglebook,95
thejunglebook,95
thejunglebook,95
thejunglebook,95
thelionking,94
thelionking,96
thelionking,123
thelionking,96
thelionking,96
thelionking,96
thelionking,96
theluckydimecapersdd,76
theluckydimecapersdd,118
thenewzealandstory,109
ninja,429
theottifants,124
theottifants,139
thesimpsonsbvtsm,41
thesimpsonsbvtsm,44
thesimpsonsbvtw,97
thesmurfs,135
lesschtroumpfsadm,133
theterminator,15
thunderblade,361
timesoldiers,475
tomandjerrythemovie,89
astroflash,450
astroflash,451
astroflash,453
trivialpursuitge,640
ultima4qota,290
ultimatesoccer,614
vigilante,218
wanted,342
wimbledon,514
wimbledon,513
wimbledon2,514
wolfchild,138
superwonderboy,415
superwonderboy,416
wonderboy3tdt,186
superwonderboymw,71
wonderboy5monsterworld3,142
wonderboy5monsterworld3,140
worldclassleaderboard,635
worldcupitalia90,615
worldcupusa94,613
worldgames,627
thecircuit,268
worldsoccer,607
wwfwrestlemaniascc,501
xenon2megablast,333
xenon2megablast,334
ys,294
zaxxon3d,368
akaikoudanzillion,158
akaikoudanzillion,157
akaikoudanzillion,159
triformation,204
zooltnotnthd,154
20em1,225
aceofaces,374
actionfighter,196
aerialassault,319
afterburner,361
airrescue,311
aladdin8bit,132
anmitsuhime,176
alexkiddtls,69
alexkiddsw,104
alien3,407
alienstorm,224
aliensyndrome,426
juuouki,55
juuouki,57
americanbaseball,576
andreagassitennis,511
arielthelittlemermaid,32
asterixatsm,401
assaultcity,340
asterixsega,402
asterixatgr,126
asterixatsm,404
supermonacogp2,272
astrowarrior,330
nazca88,2
backtothefuture2,47
bakubakuanimal,252
bankpanic,356
basketballnightmare,580
batmanreturnssms,12
battleoutrun,283
battletoadsinbattlemaniacs,486
hokutonoken,397
bladeeagle,365
bonanzabros,20
bonkerswaxup,93
bubblebobble,473
buggyrun,571
californiagames,644
californiagames2,645
captainsilver,55
casteloratimbum,74
castleofillusion8bit,78
championsofeurope,615
ghosthouse,406
cheesecatastrophessg,84
choplifter,437
chuckrock,136
chuckrock2soc,112
chuukataisen,454
columns,505
borgman,39
daffyduckinhollywood,85
danantjf,42
deadangle,356
deepducktroublesdd,76
desertspeedtrapsrrawec,101
dicktracy,10
doubledragon,483
drrobotnikmeanbeanmachine,556
dragoncrystaltnm,310
dynamiteduke,458
dynamitedux,4
dynamiteheaddy,115
eswat,20
earthwormjim,117
eccothedolphin,46
eccottot,45
enduroracer,274
f16ff,375
f1,569
opaopa,465
fantasyzone2oonn,315
feriasfrustradasdopicapau,116
fifainternationalsoccer,381
fireandice,112
lostworlds,321
glocairbattle,388
gainground,480
galaxyforce,361
californiagames,644
gameboxseriecorridas,387
gameboxserieesportes,389
gameboxserielutas,19
