game_id,developer_id
hajatofuuin,99
missiledefense3d,87
monopolysms,72
monopolysms,72
mortalkombat,82
mortalkombat2,81
mspacman,143
seishunscandal,94
seishunscandal,94
seishunscandal,94
ninjagaiden,116
olympicgold,149
winterolympicgames,149
winterolympicgames,149
operationwolf,133
outrun,87
outrun3d,87
outruneuropa,83
pacmania,137
paperboy,149
familygames,23
dokidokipenguinlandud,87
pgatourgolf,80
phantasystar,87
pitfighter,145
populous,18
poseidonwars3d,87
aleste,23
powerstrike2,23
predator2,141
princeofpersia,147
dumpmatsumoto,87
psychicworld,117
psychofox,162
puttandputter,116
doubletargetcnm,87
rtype,24
rcgrandprix,1
rainbowislands,49
rambo3,87
rampage,92
rampart,34
rastansaga,133
renegade,71
rescuemission,87
roadrash,83
roadrash,83
roadrash,83
robocop3,36
robocopversustheterminator,69
robocopversustheterminator,69
rocky,87
runningbattle,77
sagaia,70
astrowarrior,109
scramblespirits,90
ashura,87
segachess,81
segaworldtournamentgolf,87
sensiblesoccerec,38
shadowdancer,87
shadowofthebeast,138
shanghai,87
shinobi,87
shootinggallery,87
slapshot,122
slapshot,122
sonicthehedgehog8bit,6
sonicthehedgehog28bit,12
sonicthehedgehog28bit,12
sonicandtails,12
sonicspinball,89
sonicspinball,89
spacegun,29
spaceharrier,87
spaceharrier3d,87
specialcriminalinvestigation,70
speedball,67
speedball,67
speedball2brutaldeluxe,67
kujakuou,87
spidermanvsthekingpin8bit,111
spidermanrotss,15
spidermanrotss,15
spyvsspy,98
spyvsspy,98
starwars,149
starwars,149
stretsofrage,7
streetsofrage2,56
striderhiryuu,154
strider2usg,149
submarineattack,87
summergames,174
superkickoff,151
supermonacogp,87
superoffroad,40
smashtv,81
superspaceinvaders,148
greattennis,87
greattennis,87
supermantmos,41
t2thearcadegame,81
taitochasehq,108
tazmania8bit,139
tecmoworldcup93,116
teddyboyblues,87
teddyboyblues,87
tennisace,122
terminator2judgmentday,9
theaddamsfamily8bit,8
thecybershinobi,87
theflash,81
theflash,81
theflintstonesms,159
theincrediblecrashdummies8bit,141
theincrediblehulk,81
theincrediblehulk,81
thejunglebook,131
thejunglebook,131
thejunglebook,131
thejunglebook,131
thejunglebook,131
thejunglebook,131
thelionking,131
thelionking,131
thelionking,131
thelionking,131
thelionking,131
thelionking,131
thelionking,131
theluckydimecapersdd,87
theluckydimecapersdd,87
thenewzealandstory,136
ninja,87
theottifants,40
theottifants,40
thesimpsonsbvtsm,53
thesimpsonsbvtsm,53
thesimpsonsbvtw,8
thesmurfs,16
lesschtroumpfsadm,167
theterminator,83
thunderblade,87
timesoldiers,5
tomandjerrythemovie,116
astroflash,87
astroflash,87
astroflash,87
trivialpursuitge,144
ultima4qota,104
ultimatesoccer,85
vigilante,91
wanted,125
wimbledon,116
wimbledon,116
wimbledon2,116
wolfchild,28
superwonderboy,87
superwonderboy,113
wonderboy3tdt,169
superwonderboymw,113
wonderboy5monsterworld3,127
wonderboy5monsterworld3,127
worldclassleaderboard,150
worldcupitalia90,87
worldcupusa94,149
worldgames,170
thecircuit,87
worldsoccer,87
wwfwrestlemaniascc,142
xenon2megablast,33
xenon2megablast,33
ys,97
zaxxon3d,87
akaikoudanzillion,87
akaikoudanzillion,87
akaikoudanzillion,87
triformation,87
zooltnotnthd,42
20em1,134
aceofaces,152
actionfighter,87
aerialassault,122
afterburner,87
airrescue,116
aladdin8bit,116
anmitsuhime,87
alexkiddtls,173
alexkiddsw,87
alien3,81
alienstorm,119
aliensyndrome,125
juuouki,87
juuouki,87
americanbaseball,170
andreagassitennis,37
arielthelittlemermaid,17
asterixatsm,109
assaultcity,122
asterixsega,87
asterixatgr,27
asterixatsm,88
supermonacogp2,90
astrowarrior,87
nazca88,87
backtothefuture2,52
bakubakuanimal,118
bankpanic,106
basketballnightmare,3
batmanreturnssms,13
battleoutrun,90
battletoadsinbattlemaniacs,132
