region_name,region_id
Asia,1
Australia,2
Brazil,3
China,4
Denmark,5
Europe,6
France,7
France/Germany/Netherlands,8
France/Netherlands,9
Germany,10
Italy,11
Japan,12
Spain,13
Spain/France,14
Spain/Italy,15
USA,16
USA/Europe,17
United Kingdom,18
