game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
ishiihisaichinodaiseikai,Ishii Hisaichi no Daiseikai,いしいひさいちの大政界,Ishii Hisaichi no Daiseikai,いしいひさいちの大政界,1994-01-28
jaguarxj220,Jaguar XJ220,,Jaguar XJ220,,1993-03-26
jangouworldcup,Jangō World Cup,雀豪ワールドカップ,Jangō World Cup,雀豪ワールドカップ,1993-08-27
jurassicparkcd,Jurassic Park,,Jurassic Park,Jurassic Park ジュラシック・パーク,1994-09-30
kamenriderzo,Kamen Rider ZO,仮面ライダーZO,Kamen Rider ZO,仮面ライダーZO,1994-05-13
keiouyuugekitai,Keiō Yūgekitai,慶応遊撃隊,Keiō Yūgekitai,慶応遊撃隊,1993-08-06
keiouyuugekitai,Keiō Yūgekitai,慶応遊撃隊,Keiō Yūgekitai (Kira Kira Lucky Takarabako),慶応遊撃隊 (キラキラ★ラッキー宝箱),1993-08-06
lethalenforcers,Lethal Enforcers,,Lethal Enforcers,Lethal Enforcers リーサルエンフォーサーズ,1993-10-29
lethalenforcers,Lethal Enforcers,,Lethal Enforcers (Famitsu-ban),Lethal Enforcers リーサルエンフォーサーズ (ファミ通版),
lethalenforcers2thewestern,Lethal Enforcers II: The Western,,Lethal Enforcers II: The Western,Lethal Enforcers II: The Western リーサルエンフォーサーズII　ザ・ウエスタン,1994-11-25
lethalenforcers2thewestern,Lethal Enforcers II: The Western,,Lethal Enforcers II: The Western (Including The Justifier),Lethal Enforcers II: The Western リーサルエンフォーサーズII　ザ・ウエスタン (Including The Justifier),1994-11-25
lunarthesilverstar,Lunar: The Silver Star,,Lunar: The Silver Star,Lunar: The Silver Star ルナ　ザ・シルバースター,1992-06-26
lunareternalblue,Lunar: Eternal Blue,,Lunar: Eternal Blue,,1994-12-22
lunareternalblue,Lunar: Eternal Blue,,Lunar: Eternal Blue,,
mahounoshoujosilkylip,Mahō no Shōjo: Silky Lip,魔法の少女　シルキーリップ,Mahō no Shōjo: Silky Lip,魔法の少女　シルキーリップ,1992-06-19
microcosm,Microcosm,,Microcosm,Microcosm マイクロコズム,1994-02-25
mightandmagic3islesofterra,Might and Magic III: Isles of Terra,,Might and Magic III: Isles of Terra,,1993-11-26
mortalkombat,Mortal Kombat,,Mortal Kombat: Shinken Kōrin Densetsu (Kanzenban),Mortal Kombat モータルコンバット　神拳降臨伝説 (完全版),1994-06-03
