name,developer_id
Ocean/Data Design,301
Ocean/Krisalis,302
Ocean/Teque London,303
Odysseus,304
Opera House,305
Opus,306
Overplay,307
PF.Magic/Futurescape,308
Pacific SoftScape,309
Palsoft,310
PanelComp/Silicon Sketches,311
Park Place,312
Park Place/Electronic Arts,313
Park Place/Fat Box/Metropolis Digital/Viewpoint DataLabs/BioVision,314
Peakstar,315
Polygames,316
Polygames/HeartBeat,317
Polygames/High Score,318
Probe,319
Probe/Atod,320
Probe/Black Team,321
Probe/Climax,322
Probe/Eden/Krisalis,323
Probe/Grey Team,324
Probe/Grey Team/Krisalis,325
Probe/Krisalis,326
Probe/The Gray Team/Krisalis,327
Psionic/Krisalis,328
Psygnosis,329
Psygnosis/Traveller's Tales/Krisalis,330
Punk,331
Quest,332
Radiance,333
Radical,334
Rage,335
Rage/Red Team,336
Raising Hell,337
Raising Hell/Krisalis,338
Rare,339
Realtime,340
Realtime Games/SEGA,341
Realtime/SEGA Girls Task Force,342
Realtime/The White Team/Trimark,343
Recreational Brainware/Nu Romantic,344
Recreational Brainware/Technopop,345
Reflections/Psygnosis/WJS Design,346
Richard Walker,347
Riedel,348
Ringler,349
Ringler/Absolute,350
Robert Weatherby/Electronic Arts,351
SCI,352
SEGA,353
SEGA AM2,354
SEGA CS,355
SEGA CS/G-Sat/Nexus/Winds,356
SEGA CS/Santos,357
SEGA CS1,358
SEGA CS1/Brain Busters/KNU,359
SEGA CS1/Minato Giken,360
SEGA CS1/SEGA CS3,361
SEGA CS1/T's Music,362
SEGA CS2,363
SEGA CS2/Ancient/H.I.C./Shout!/M.N.M.,364
SEGA CS2/Illusion Shot Pictures/Disney,365
SEGA CS2/Western Technologies,366
SEGA CS3,367
SEGA CS3/Ancient,368
SEGA CS3/SEGA CS4,369
SEGA CS3/SEGA CS4/Kuusou Kagaku/T's Music,370
SEGA FALCOM,371
SEGA FALCOM/Twofive,372
SEGA FALCOM/Twofive/Winsen,373
SEGA InterActive,374
SEGA InterActive/Waterman Designs,375
SEGA Interactive,376
SEGA Midwest,377
SEGA Midwest/New Wave Graphics/Blue Line/Wotman,378
SEGA Technical Institute,379
SEGA Technical Institute/M2,380
SEGA Technical Institute/Nu Romantic,381
SEGA Technical Institute/Polygames,382
SEGA Technical Institute/Reptilia Design,383
SEGA Technical Institute/SEGA,384
SEGA/D3T,385
SEGA/Disney/Interactive Designs,386
SEGA/Epyx/Sonic Team,387
SEGA/Genki,388
SEGA/ITL,389
SEGA/M2,390
SEGA/Mecano,391
SEGA/Oniro/HIC,392
SEGA/Sonic Team,393
SEGA/T's Music,394
SEGA/Technopop/Recreational Brainware,395
SEGA/Treasure,396
SEGA/Visco,397
SEGA/Winsen,398
SEGA/Yuzo Koshiro,399
SIDD/Disney,400
SIMS,401
SIMS/Banpresto,402
SIMS/Hertz/T's Music,403
SIMS/T's Music,404
SIMS/Winsen,405
SPS,406
SPS/T's Music,407
SSI,408
Samsung,409
Sankyo Taiwan Fundship,410
Sanritsu,411
Santos,412
Santos/SEGA CS,413
Saurus/System Vision,414
Scientific Atlanta,415
Sculptured,416
Sculptured/Nu Romantic,417
Sculptured/The Black Team,418
Sculptured/The White Team,419
Sega CS1/Minato Giken,420
Seibu Kaihatsu/Beyond,421
Senchi/Jumbo,422
Sensible,423
Sensible/Krisalis,424
Sensible/Psygnosis/Krisalis,425
Shiny/Tommy Tallarico Studios,426
Sigma Pro-Tech/Cyclone System,427
Sigma/Cyclone System,428
Silicon & Synapse/Krisalis,429
Silicon Dreams,430
Silicon Sorcery,431
Soft Machine,432
Soft Vision/ISC,433
Software Creations,434
Software Creations/The Black Team,435
Software Creations/The Black Team/Green Jelly,436
Software Creations/The Grey Team,437
Sonic Team,438
Sonic Team/Compile,439
Sonic Team/SEGA Technical Institute,440
Sonic/Winds,441
Sonic/Winds/Winsen,442
Sony Imagesoft,443
Spectacular/FarSigh,444
Spectacular/FarSight,445
Spidersoft/Western Technologies,446
Sterling Silver,447
Stormfront,448
Stormfront/High Score,449
Studio Ducks,450
Studio Fazzy,451
Success,452
Sunsoft,453
Sunsoft/ChatNoir,454
Sunsoft/Grey Team/Condor,455
Sunsoft/Software Creations/Disney,456
SuperSonic,457
Supersonic,458
Supervision,459
Synergistic,460
Syrox,461
System Vision,462
System Vision/Inter State,463
T&E,464
TOSE,465
Tahoe,466
Taito,467
Team 17/East Point,468
Tec Toy,469
Technical Wave,470
Technical Wave/Winsen,471
Technopop,472
Technopop/Accolade,473
Technosoft,474
Tecmo,475
Teeny Weeny/Krisalis,476
Telenet,477
Telenet/Micro Factory,478
Telenet/Micro Factory/Winsen,479
Telenet/System Sacom,480
Telenet/Winsen,481
Tempest/Krisalis,482
Tengen,483
Tengen/Nu Romantic,484
Tengen/OUI/DMP,485
Tengen/Sterling Silver,486
Teque London/Atod,487
The Bitmap Brothers,488
The Bitmap Brothers/Krisalis,489
The Bitmap Brothers/The Assembly Line,490
The Cartoon Mavericks,491
The Code Monkeys/Rainbow Arts/Factor 5,492
The Kremlin,493
The Software Toolworks,494
Thin Chen,495
Thinking Rabbit,496
Tiertex,497
Tiertex/Lucasfilm,498
Time Warner,499
Time Warner/NuFX,500
Toaplan,501
Toaplan/M.N.M/Yuzo Koshiro,502
Toaplan/Tengen,503
Toys for Bob/Accolade,504
Tradewest,505
Traveller's Tales/Krisalis,506
Traveller's Tales/Psygnosis,507
Traveller's Tales/Psygnosis/Disney,508
Traveller's Tales/Sonic Team,509
Treasure,510
Treasure/Winsen,511
Treco,512
Twilight,513
U.S.Gold/Arc,514
VIC Tokai,515
VIC Tokai/Graphic Research,516
Varie,517
Vectordean,518
Virgin,519
Virgin/Eurocom,520
Virgin/Graftgold/Krisalis,521
Virgin/Krisalis,522
Virgin/Westwood,523
Virtual Studio/Climax,524
Visual Concepts,525
Vivid Image,526
Vivid Image/Psygnosis/Krisalis,527
WJS Design/Krisalis,528
WayForward/Designer,529
We Net/Manvo,530
Western Technologies,531
Western Technologies/FarSight,532
Western Technologies/Johnson Voorsanger,533
Western Technologies/The Black Team,534
Westone,535
Westwood,536
Westwood Associates,537
White Box,538
Whiteboard,539
Whiteboard/Toaplan,540
Wisdom Tree,541
Wolf Team,542
X Boy,543
X Boy/Winsen,544
Yellow Horn/Mecano,545
Zeppelin,546
Zyrinx,547
