region_name,region_id
Australia,1
Brazil,2
Europe,3
Europe/Brazil,4
France,5
Germany,6
Hong Kong,7
Italy,8
Japan,9
Japan/Europe,10
Portugal,11
South Korea,12
Spain,13
Taiwan,14
USA,15
USA/Brazil,16
USA/Europe,17
USA/Europe/Brazil,18
United Kingdom,19
Unknown,20
World,21
