game_id,screen_title_en,screen_title_native,release_date,md5,sha1,sha256,sha512
1943,1943: The Battle of Midway,,1987,c420fa612d630bdffd806883193454a9,1f5fd08c18b882d2978539756543c7660c82c14e,e44b89e80bf8bccc4f16476d7254d959d937a1668d27ec564d57103ac94fba6f,551edbc03269d24e61afb570622fc68d2d331fb60c86505316d0efeb7acb35dd11e1eece649f84ff2d5891dcd3977b35df700f20ff857def047e30ce7aef1c2c
1943kai,1943 Kai: Midway Kaisen,1943改 ミッドウェイ海戦,1987,1b01f752d6c5ff8154b2b541eda1af52,5a3baf01cb146069caf75197c456165a6701b637,b4202aaac843fd2f40961b533faf44bcc2c1f5a5c368aa4c251e0948929aa20a,f6f15997641e1725495e0dc282b9bacb6f42073f2eae687fc0dc5451346d065cafef9f56bd9a0c4009ed9169ad12fa298bb82e4597fda403e92f4472ea7e0ffc
1943kai,1943: The Battle of Midway Mark II,,1987,9345430bc2e9f663354746ff063c838c,ac52860a73c8105bdab585c89810d2895b64c742,d89d1e7e901ba40b98604dfdb276a56233f9f4f04979a7c0cabf9743113988f2,2d746fdf328fc6d3816ce490d125fa901933415108c2e51ff312ad5e7d51afe80e179895354def3946f3ec4e5052e89387ab9860e984985b519f456e5aae33b4
1944,1944: The Loop Master,,2000-06-20,3ee05ceedd9a03a22dd66d32129a5022,bcb9f0846ce8acd97e697e4596b8403c136d65ba,9186f400aa9cfcdf2720c16bf9801da0e782c5ca6e4bfcdac70c3dc30bbe508d,2128992ac72d6aaf9f6b41b73e537b2c1ce2a3ac652c9f88d87256eee9bc6a7cb93079305cac7ff8b8695f83746262c072b8f69667596c7165f4f91ef032b16c
1944,1944: The Loop Master,,2000-06-20,3ee05ceedd9a03a22dd66d32129a5022,bcb9f0846ce8acd97e697e4596b8403c136d65ba,9186f400aa9cfcdf2720c16bf9801da0e782c5ca6e4bfcdac70c3dc30bbe508d,2128992ac72d6aaf9f6b41b73e537b2c1ce2a3ac652c9f88d87256eee9bc6a7cb93079305cac7ff8b8695f83746262c072b8f69667596c7165f4f91ef032b16c
1944,1944: The Loop Master (Phoenix Edition),,2000-06-20,3ee05ceedd9a03a22dd66d32129a5022,bcb9f0846ce8acd97e697e4596b8403c136d65ba,9186f400aa9cfcdf2720c16bf9801da0e782c5ca6e4bfcdac70c3dc30bbe508d,2128992ac72d6aaf9f6b41b73e537b2c1ce2a3ac652c9f88d87256eee9bc6a7cb93079305cac7ff8b8695f83746262c072b8f69667596c7165f4f91ef032b16c
1944,1944: The Loop Master,,2000-06-20,3ee05ceedd9a03a22dd66d32129a5022,bcb9f0846ce8acd97e697e4596b8403c136d65ba,9186f400aa9cfcdf2720c16bf9801da0e782c5ca6e4bfcdac70c3dc30bbe508d,2128992ac72d6aaf9f6b41b73e537b2c1ce2a3ac652c9f88d87256eee9bc6a7cb93079305cac7ff8b8695f83746262c072b8f69667596c7165f4f91ef032b16c
19xx,19XX: The War Against Destiny,,1995-12-07,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1995-12-25,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1996-01-04,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1995-12-07,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1996-01-04,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1995-12-07,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny (Phoenix Edition),,1995-12-07,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1995-12-18,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
19xx,19XX: The War Against Destiny,,1995-12-18,f5e196912b9fdb4db96fe69ea1d6cf18,ecd96dd270107f785fb57a37e35d6b1b65ead9e5,a94cc812286632dd36a1b2d9a0d5d4f19421d305f5b46033a7ec45b711d3dc69,add1ffd57972560252d687cad1de2f6a30ee67b62855a9147be326e1b194fd5da251acc995df5a018745b7ce2973c026fb4a04760eec4a6b80918092409a7d1d
