game_id,screen_title_en,screen_title_native,release_date,md5,sha1,sha256,sha512
ufosenshiyoukochan,UFO Senshi Yōko-chan,UFO戦士 ようこちゃん,1988-06,d0f0466509135ee78cdf258ff40913fa,128acc1bc8f9142986406272f18e09e5ecc2d9d1,565ab56ff0caaec81763f66dcd952cb8add91f308ebdad1c1ee7d4329eb4f5fd,dd0b8489e86607354ad415194288c8b48fde4cf666ee883008708fbdb586ba2825f0c9698abbe08e064561bf62bb20d25339dfd1afbc4ca3ae7fe1833d482abb
ufosenshiyoukochan,UFO Senshi Yōko-chan,UFO戦士 ようこちゃん,1988,d0f0466509135ee78cdf258ff40913fa,128acc1bc8f9142986406272f18e09e5ecc2d9d1,565ab56ff0caaec81763f66dcd952cb8add91f308ebdad1c1ee7d4329eb4f5fd,dd0b8489e86607354ad415194288c8b48fde4cf666ee883008708fbdb586ba2825f0c9698abbe08e064561bf62bb20d25339dfd1afbc4ca3ae7fe1833d482abb
upndown,Up'n Down,,1983-09,6b93cb3200e5a8b09f6a8ca1f37d8e49,76698c100efd6a84a1045abe8981cee27aea7e32,853887f497b49d7a652513dc3e0445126ae5780a9b5443cfaa06a565a64ef46b,71757d899a9583552cdbbb24a2e6e0f0fb549cfaf5202924f8e4276fe617f0d74665804c412be4339d1b4bb0a103bcfb38f922a61f34d40eebdaa4b1e44bb740
upndown,Up'n Down,,1983,6b93cb3200e5a8b09f6a8ca1f37d8e49,76698c100efd6a84a1045abe8981cee27aea7e32,853887f497b49d7a652513dc3e0445126ae5780a9b5443cfaa06a565a64ef46b,71757d899a9583552cdbbb24a2e6e0f0fb549cfaf5202924f8e4276fe617f0d74665804c412be4339d1b4bb0a103bcfb38f922a61f34d40eebdaa4b1e44bb740
virtuafighterkids,Virtua Fighter Kids,,1996-03-19,d580a83247e3e571af72d6c5734efa0b,3f7e193c4764cf063a0c532b2f017ebe1575612f,c915acbb6e67ed0b560b4ca752410f6ed05d9060a9e1bc5500c74fe23654cb21,e0f37427d1b19ae561b6f4ad8d0b2554999e19b714ebbec25e12c9e48bd804bb3a44d4d14503a2f3ea8210935e3f75af0f2c6787fce9f5cb4214888e7a3c050f
virtuafighterremix,Virtua Fighter Remix,,1995-04-28,8e0c28202242f69f64928b2d786bd86f,9fea35a65264c3a512b463e9333b53a3db8a4eb9,e9b8a2fc47ee5e559cdc10e2e227fd5fe4fe47d88acbc4af81e69c4d3811274e,225115b89af919c65e9f910ab9ad97b5ac5b0583cded94360d8fbe9ae5417699ddb2c2786b0a95b465df6ed0f7769adfc208d77d44507c3324e6b207e3fc3b06
virtualmahjong,Virtual Mahjong,Virtual 麻雀,1996-12-14,51489427317327442d4bbeb725c05573,412393547f654453baf370d9108d22aa18808b08,b374fad6ac87d0c4a55970869cfeec565eeead09bea999766d6c28f5cd3f1880,bc88a5fd30934e1ba0ee2981970aafb88c607a25126ffb2ba5c15b42946289b96cb01d81d6618779311574527e539835ca991e68ac016701310cf9bba81b502a
wakuwakuanpanman,Waku Waku Anpanman,わくわくアンパンマン,1991,b4105325e5a693447a66f8b8592b31f1,1db3c7983629fd5d5d152d852f11b4834c92ff8b,4479cd6573f4a6528d2acc3dfe7b9727b60db5af46f9103f998b7063f0710b82,018a6d7f75ebbbb4528a00c1145969697a7240d84669250d5cd479310026246e8a6e40c55558c0a56a167a59825402f3519bbf946e9cfedba5b7564494bcf696
wakuwakumarine,Waku Waku Marine: Umi no Bōken,わくわくマリン うみのぼうけん,1992-10,6870c0463c8f0e1f65e836a6ccf63564,8a204583e3ee1f25f0ac7a16a22d7eaafc3392ea,6dbeaa226c944fc9c655a59c59b4d07402457cb7fd0bc5bbd87acf511a50a3d1,38729a9983befeb16eebd4ced5f162f7d460443f7747090982dc0bf2f15899fcea54a86a865341fad8799783e2866e66b6de0411b20ebef1f2f1bc1b0a75b24a
wakuwakuultramanracing,Waku Waku Ultraman Racing,わくわくウルトラマンレーシング,1996,7f8402191c7bf81f95def4194b7da6ea,fafb7be4126beeec832fe142c181cc82faed0348,37ba1fae1590290004072a973e447efa3c5628587ea6d7260e6d06d1e557eaa4,556c32df65632b95940d2de6d917fac8de37d51019125ea443c390cd557c13ca16f5d87af9318658878e168374af24ad197017a867497d60f90ccc5bac341080
