game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
angelparadisevol2yoshinokimikaisshoniitaiinhawaii,Angel Paradise Vol. 2: Yoshino Kimika: Isshoni I・ta・i in Hawaii,Angel Paradise Vol. 2 吉野公佳 いっしょにい・た・い in Hawaii,Angel Paradise Vol. 2: Yoshino Kimika: Isshoni I・ta・i in Hawaii,Angel Paradise Vol. 2 吉野公佳 いっしょにい・た・い in Hawaii,1996-09-13
angeliqueduet,Angelique Duet,アンジェリーク デュエット,Angelique Duet,アンジェリーク デュエット,1998-07-30
angeliqueduet,Angelique Duet,アンジェリーク デュエット,Angelique Duet (Premium Box),アンジェリーク デュエット (プレミアム Box),1998-07-30
angelique,Angelique Special,アンジェリーク Special,Angelique Special,アンジェリーク Special,1996-03-29
angelique,Angelique Special,アンジェリーク Special,Angelique Special (Premium Box),アンジェリーク Special (プレミアム Box),1996-10-04
angelique,Angelique Special,アンジェリーク Special,Angelique Special (Premium Pack),アンジェリーク Special (プレミアムパック),1997-11-20
angeliquespecial2,Angelique Special 2,アンジェリーク Special 2,Angelique Special 2,アンジェリーク Special 2,1997-04-04
angeliquespecial2,Angelique Special 2,アンジェリーク Special 2,Angelique Special 2 (Premium Box),アンジェリーク Special 2 (プレミアム Box),1997-04-04
anothermemories,Another Memories,,Another Memories,,1998-07-02
aquaworldumimonogatari,AquaWorld: Umi Monogatari,AquaWorld 海美物語,Aqua-World: Umi Monogatari,Aqua-World 海美物語,1996-07-12
aquazonedesktoplife,Aquazone: Desktop Life,,Aquazone: Desktop Life,,1996-07-12
aquazonedesktoplifeoptiondiscseries1angelfish,Aquazone: Desktop Life,,Aquazone: Desktop Life Option Disc Series 1: Angel Fish,Aquazone: Desktop Life Option Disc Series 1 オプションナンバー1 Angel Fish,1996-12-20
aquazonedesktoplifeoptiondiscseries2blackmolly,Aquazone: Desktop Life,,Aquazone: Desktop Life Option Disc Series 2: Black Molly,Aquazone: Desktop Life Option Disc Series 2 オプションナンバー2 Black Molly,1996-12-20
aquazonedesktoplifeoptiondiscseries3blueemperor,Aquazone: Desktop Life,,Aquazone: Desktop Life Option Disc Series 3: Blue Emperor,Aquazone: Desktop Life Option Disc Series 3 オプションナンバー3 Blue Emperor,1996-12-20
aquazonedesktoplifeoptiondiscseries4clownloach,Aquazone: Desktop Life,,Aquazone: Desktop Life Option Disc Series 4: Clown Loach,Aquazone: Desktop Life Option Disc Series 4 オプションナンバー4 Clown Loach,1996-12-20
aquazonedesktoplifeoptiondiscseries5falserummynose,Aquazone: Desktop Life,,Aquazone: Desktop Life Option Disc Series 5: False Rummy-Nose,Aquazone: Desktop Life Option Disc Series 5 オプションナンバー5 False Rummy-Nose,1996-12-20
arcanastrikes,Arcana Strikes,Arcana Strikes アルカナ・ストライクス,Arcana Strikes,Arcana Strikes アルカナ・ストライクス,1997-12-11
area51,Area 51,,Area 51,Area 51 エリア51,1997-02-07
sidandalsincredibletoons,Arthur to Astaroth no Nazo Makaimura: Incredible Toons,アーサーとアスタロトの謎魔界村 Nazomakaimura: Incredible Toons,Arthur to Astaroth no Nazo Makaimura: Incredible Toons,アーサーとアスタロトの謎魔界村 Nazomakaimura: Incredible Toons インクレディブル トゥーンズ,1996-08-30
assaultrigs,Assault Rigs,Assault Rigs アサルト リグス,Assault Rigs,Assault Rigs アサルト リグス,1997-09-11
assaultsuitleynos2,Assault Suit Leynos 2,,Assault Suit Leynos 2,,1997-02-21
astrasuperstars,Astra Superstars,Astra Superstars アストラスーパースターズ,Astra Superstars,Astra Superstars アストラスーパースターズ,1998-08-06
asuka120limitedburningfest,Asuka 120% Limited: Burning Fest. Limited,あすか120%リミテッド Burning Fest. Limited,Asuka 120% Limited: Burning Fest. Limited,あすか120%リミテッド Burning Fest. Limited,1997-10-09
ayakashinindenkunoichiban,Ayakashi Ninden Kunoichiban Plus,あやかし忍伝くの一番プラス,Ayakashi Ninden Kunoichiban Plus,あやかし忍伝くの一番プラス,1998-04-09
ayakashinindenkunoichiban,Ayakashi Ninden Kunoichiban Plus,あやかし忍伝くの一番プラス,Ayakashi Ninden Kunoichiban Plus,あやかし忍伝くの一番プラス,1998-04-09
ayrtonsennapersonaltalkmessageforthefuture,Ayrton Senna Personal Talk: Message for the Future,,Ayrton Senna Personal Talk: Message for the Future,Ayrton Senna Personal Talk アイルトン・セナ パーソナルトーク Message for the Future,1995-04-28
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
azelpanzerdragoonrpg,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,Azel: Panzer Dragoon RPG,Azel: Panzer Dragoon RPG アゼル パンツァードラグーン,1998-01-29
backguineryomigaeruyuushatachikakuseihenguinertensei,BackGuiner: Yomigaeru Yūsha-tachi: Kakusei-hen 「Guiner Tensei」,バックガイナー よみがえる勇者たち 覚醒編「ガイナー転生」,BackGuiner: Yomigaeru Yūsha-tachi: Kakusei-hen 「Guiner Tensei」,バックガイナー よみがえる勇者たち 覚醒編「ガイナー転生」,1998-07-30
