game_id,publisher_id
phantasystar2amiasadventure,126
phantasystar2annesadventure,126
phantasystar2hueysadventure,126
phantasystar2kindssadventure,126
phantasystar2neisadventure,126
phantasystar2rudgersadventure,126
phantasystar2shilkasadventure,126
phantasystar2yushissadventure,126
phantasystar3tokinokeishousha,126
phelios,106
pitfighter,168
planetmessagequiz,192
populous,126
powerathlete,81
powermonger,50
prostrikerfinalstage,126
proyakyuusuperleague91,126
psyoblade,141
pulseman,126
puttergolf,126
puyopuyo,126
puyopuyo2,33
puyopuyo2,33
ichidantr,126
tantr,126
pyramidmagic,126
pyramidmagic2,126
pyramidmagic3,126
pyramidmagic,126
quackshotgaruziaounohihou,126
rbibaseball4,168
raidendensetsu,99
rainbowislands,160
rambo3md,126
rampart,168
ranseinohasha,14
rastansaga2,160
rentahero,126
riddlewired6gatsuvol1,126
ristartheshootingstar,126
roadrash,50
roadrash2,50
roadblasters,168
robocopversustheterminator,189
robotbattler,126
rocketknightadventures,86
rockmanmegaworld,25
rollingthunder2,106
rolototherescue,50
royalblood,85
runark,160
ryuukonoken,126
saintsword,160
samesamesame,173
samuraispirits,129
sangokushi2,85
sangokushi2,85
sangokushi3,85
sangokushiretsudenranseinoeiyutachi,126
sansan,138
sdvalis,88
segaarttool,126
segachanneljp,126
segachanneljp,126
segagametoshokan,126
senjounoookami2,126
USA,133
shadowdancerthesecretofshinobi,126
shinomeikyuu,126
shinomeikyuu,126
shijousaidainosoukoban,95
shikinjou,153
shinsousekiragnacenty,126
shiningandthedarkness,126
shiningforcethelegacyofgreatintention,126
shiningforce2inishienofuuin,126
shitenmyouou,141
shouginohoshi,66
shuranomon,126
sidepocket,36
slapfight,173
snowbros,168
sonicandknuckles,126
sonicandknuckles3,126
soniceraser,126
sonicspinball,126
sonicthehedgehog,126
sonicthehedgehog2,126
sonicthehedgehog3,126
sorcerkingdom,95
sorcerian,126
bob,50
spaceharrier2,126
spaceharrier2,126
spaceinvaders90,160
sparksterrocketknightadventures2,86
speedball2brutaldeluxe,27
spidermanvsthekingpin,126
spidermanvenommaximumcarnage,7
splatterhousepart2,106
splatterhousepart3,106
starcruiser,95
steeltalons,168
stormlord,97
streetfighter2dashturbohf,25
streetsmart,177
striderhiryuu,126
superairwolf,87
superbaseball2020,49
superdaisenryaku,126
superdaisenryaku,126
superfantasyzone,153
superhq,160
superhangon,126
hydlide3thespacememories,14
superleague,126
supermonacogp,126
jordanvsbird,50
superrealbasketball,126
superstreetfighter2tnc,25
superthunderblade,126
supervolleyball,188
surgingaura,126
swordofsodan,126
t2thearcadegame,5
taikourisshiden,85
taskforceharrierex,177
tazmaniamd,126
tecmosuperbowl,166
tecmosuperbowl2,166
tecmosupernbabasketball,166
tecmoworldcup90,130
teddyboyblues,126
tmntreturnoftheshredder,86
tmnttournamentfightersmd,86
teitokunoketsudan,85
teltelmahjong,153
teltelstadium,153
tetris,126
theflintstonesmd,160
mickeytominniemagicaladventure2thegreatcircusmystery,25
thehybridfront,126
theimmortal,50
bestofthebestchampionshipkarate,97
fatalrewind,50
thelionking,189
