game_id,tag_id
kidoukeisatsupatlabor98shikikidouseyo,413
pepengapengo,1571
pgatourgolf2,1405
phantasystar,638
phantasystartheendofthemillennium,628
phantasystartheendofthemillennium,629
phantasystar2kaerazarutokinoowarini,628
phantasystar2amiasadventure,410
phantasystar2annesadventure,410
phantasystar2hueysadventure,410
phantasystar2kindssadventure,410
phantasystar2neisadventure,410
phantasystar2rudgersadventure,410
phantasystar2shilkasadventure,410
phantasystar2yushissadventure,410
phantasystar3tokinokeishousha,628
phelios,690
pitfighter,1178
planetmessagequiz,528
populous,800
powerathlete,1186
powermonger,772
prostrikerfinalstage,1547
proyakyuusuperleague91,1351
psyoblade,426
pulseman,236
puttergolf,524
puyopuyo,1249
puyopuyo2,1236
puyopuyo2,1239
ichidantr,1582
tantr,1582
pyramidmagic,505
pyramidmagic2,505
pyramidmagic3,505
pyramidmagic,505
quackshotgaruziaounohihou,168
rbibaseball4,1364
raidendensetsu,690
rainbowislands,238
rambo3md,851
rampart,1334
ranseinohasha,778
rastansaga2,119
rentahero,628
riddlewired6gatsuvol1,1254
ristartheshootingstar,277
roadrash,1300
roadrash2,1300
roadblasters,559
robocopversustheterminator,365
robotbattler,1086
rocketknightadventures,349
rockmanmegaworld,142
rollingthunder2,874
rolototherescue,224
royalblood,1323
runark,452
ryuukonoken,1135
saintsword,118
samesamesame,690
samuraispirits,1135
sangokushi2,810
sangokushi2,811
sangokushi3,1656
sangokushiretsudenranseinoeiyutachi,1466
sansan,1119
sdvalis,374
segaarttool,475
segachanneljp,469
segachanneljp,470
segagametoshokan,466
senjounoookami2,377
USA,878
shadowdancerthesecretofshinobi,29
shinomeikyuu,567
shinomeikyuu,570
shijousaidainosoukoban,513
shikinjou,503
shinsousekiragnacenty,587
shiningandthedarkness,608
shiningforcethelegacyofgreatintention,646
shiningforce2inishienofuuin,646
shitenmyouou,879
shouginohoshi,443
shuranomon,734
sidepocket,1224
slapfight,690
snowbros,911
sonicandknuckles,1033
sonicandknuckles3,907
soniceraser,1062
sonicspinball,1476
sonicthehedgehog,307
sonicthehedgehog2,1036
sonicthehedgehog3,1029
sorcerkingdom,628
sorcerian,597
bob,290
spaceharrier2,721
spaceharrier2,722
spaceinvaders90,655
sparksterrocketknightadventures2,277
speedball2brutaldeluxe,1100
spidermanvsthekingpin,18
spidermanvenommaximumcarnage,444
splatterhousepart2,450
splatterhousepart3,455
starcruiser,708
steeltalons,763
stormlord,342
streetfighter2dashturbohf,1138
streetsmart,1173
striderhiryuu,242
superairwolf,697
superbaseball2020,1358
superdaisenryaku,1596
superdaisenryaku,1597
superfantasyzone,666
superhq,537
superhangon,557
hydlide3thespacememories,596
superleague,1356
supermonacogp,1280
jordanvsbird,1377
superrealbasketball,1367
superstreetfighter2tnc,1150
superthunderblade,725
supervolleyball,1459
surgingaura,628
swordofsodan,120
t2thearcadegame,1013
taikourisshiden,778
taskforceharrierex,690
tazmaniamd,176
tecmosuperbowl,1386
tecmosuperbowl2,1389
tecmosupernbabasketball,1366
tecmoworldcup90,1438
teddyboyblues,150
tmntreturnoftheshredder,959
tmnttournamentfightersmd,1165
teitokunoketsudan,1328
teltelmahjong,1120
teltelstadium,1341
tetris,1242
theflintstonesmd,160
mickeytominniemagicaladventure2thegreatcircusmystery,893
thehybridfront,769
theimmortal,611
bestofthebestchampionshipkarate,1205
fatalrewind,840
thelionking,138
thenewzealandstory,238
theooze,76
storyofthorhikariwotsugumono,992
thesupershinobi,56
thesupershinobi2,4
thunderforce2,700
thunderforce3,666
thunderforce4,996
thunderfox,386
thunderprowrestlingretsuden,1210
socket,224
toddsadventuresinslimeworld,1027
toejamandearl,868
tomandjerryfranticantics,905
topprogolf,1404
topprogolf2,1609
tougioukingcolossus,587
truelies,364
tatsujin,690
twinkletale,387
uchuusenkangomora,1001
ultraman,459
undeadline,695
teamusabasketball,1068
valis3,251
vampirekiller,295
vermilion,587
verytex,687
virtuaracing,1276
virtualbart,356
vixen357,769
volfied,81
vfive,690
berlinnokabe,911
wardnernomori,242
whiprushwakuseivoltegasnonazo,670
wimbledon,1627
wonderboy3monsterlair,925
wonderboy5monsterworld3,219
wonderlibrary,475
wondermidi,474
worldcupsoccer,1435
worldcupsoccer,1436
worldofillusion,919
worldofillusion,920
wrestlewar,1211
wrestleball,1103
wwfraw,1484
wwfroyalrumble,1220
xdr,666
ys3,596
yuuyuuhakushomakyoutoitsusen,1576
yuuyuuhakushogaiden,417
zanyashaenbukyoku,1325
zerowing,673
zoom,860
3ninjaskickback,849
688attacksub,733
6pak,1043
adinosaurstale,191
aaahhrealmonsters,156
m1abramsbattletank,735
aerotheacrobat,224
aerotheacrobat2,224
airmanagementoozoranikakeru,729
airmanagement2koukuuouwomezase,1599
afterburner2,717
airbuster,1001
airdiver,744
almichaelsannounceshardball3,1347
aladdin,199
alexkiddtenkuumajou,328
alien3,23
alienstorm,1058
alisiadragoon,224
juuouki,880
americangladiators,1646
andreagassitennis,1083
animaniacs,343
arcadeclassics,1094
archrivals,1368
arcusodyssey,994
arielthelittlemermaid,27
ozakinaomichisupermasters,1406
ozakinaomichisupermasters,1409
arrowflash,666
artalive,480
ryuukonoken,1131
asterixandthegreatrescue,265
atomicrobokid,672
atomicrunnerchelnov,375
atptourchampionshiptennis,1564
awesomepossumkicksdrmachinosbutt,224
ayrtonsennassupermonacogp2,549
bob,290
backtothefuture3,95
ballz,1167
barbiesupermodel,822
barbiesupermodel,825
barkleyshutupandjam,1496
barkleyshutupandjam2,1493
barneyshideandseekgame,335
bassmastersclassic,742
bassmastersclassicproedition,742
batmanreturnofthejoker,359
batmanmd,123
batmanforever,1026
batmanreturns,197
battlesquadron,1007
battlemaster,796
mechwarrior3050,948
battletoads,976
battletoads,977
battletoadsdoubledragon,976
shadowofthebeast,34
shadowofthebeast2,34
beastwarriors,1215
beautyandthebeastbellesquest,420
beautyandthebeastroarofthebeast,117
beavisandbutthead,914
bestofthebestchampionshipkarate,1205
storyofthorhikariwotsugumono,985
bibleadventures,232
billwalshcollegefootball,1514
billwalshcollegefootball95,1515
biminirun,1020
cryingaseimeisensou,996
bladesofvengeance,909
blastermaster2,408
blockbusterworldvideogamechampionship2,803
blockout,1232
domineoterritorio,1104
bonanzabros,871
bonkers,129
boogermanapickandflickadventure,145
corridadetampinhas,90
boxinglegendsofthering,1196
bramstokersdracula,26
bretthullhockey95,1420
brutalpawsoffury,1142
bubbanstix,145
bubbleandsqueak,354
bubsyinclawsencountersofthefurredkind,224
bubsy2,848
buckrogers,562
budokanthemartialspirit,1204
bugsbunnyyindoubletrouble,347
bullsvsblazersandthenbaplayoffs,1069
bullsvslakersandthenbaplayoffs,1069
burningforce,725
cadash,911
caesarspalace,434
calripkenjrbaseball,1365
cal50,375
californiagames,1659
captainamericaandtheavengers,979
castleofillusionfushiginooshirodaibouken,171
vampirekiller,295
centuriondefenderofrome,794
chakantheforeverman,156
championsworldclasssoccer,1444
boogiewoogiebowling,1580
championshippool,1650
rcproam,542
rcproam,543
superhq,533
chestercheetahtoocooltofool,308
chestercheetahwildwildquest,308
topprogolf2,1610
chikichikiboys,238
chuckrock,284
chuckrock2soc,246
clayfighter,1141
cliffhanger,447
clue,1634
coachkcollegebasketball,1490
collegefootballusa96,1511
collegefootballusa97,1511
collegefootballsnationalchampionship,1520
collegefootballsnationalchampionship2,1520
collegeslam,1495
columns,1240
columns,1241
columns3,1631
combatcars,1064
comixzone,101
contrathehardcorps,926
coolspot,308
linusspaceheadscosmiccrusade,325
crackdown,887
superairwolf,698
crueball,1469
shinsousekiragnacenty,577
crystalsponytale,515
cutthroatisland,955
cyberpoliceeswat,401
