game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
piacarroteyoukoso,Pia Carrot e Yōkoso!! We've Been Waiting for You,Pia♥キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You,Pia♥キャロットへようこそ!! We've Been Waiting for You,1997-05-23
piacarroteyoukoso,Pia Carrot e Yōkoso!! We've Been Waiting for You,Pia♥キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You & Can Can Bunny Extra DX,Pia♥キャロットへようこそ!! We've Been Waiting for You & きゃんきゃんバニー Can Can Bunny エクストラ DX,1997-11-28
powerdollsfx,Power Dolls,,Power Dolls FX,,1996-02-23
returntozork,Return to Zork,,Return to Zork,,1995-05-27
rurulirarura,Ruruli Ra Rura,ルルリ・ラ・ルラ,Ruruli Ra Rura,ルルリ・ラ・ルラ,1998-02-20
shanghaibanrinochoujouthegreatwall,Shanghai: Banri no Chōjō: The Great Wall,上海 万里の長城 The Great Wall,Shanghai: Banri no Chōjō: The Great Wall,上海 万里の長城 Shanghai: The Great Wall,1996-03-15
sotsugyou2neogeneration,Sotsugyō II FX: Neo Generation,卒業II FX: Neo Generation,Sotsugyō II FX: Neo Generation,卒業II FX: Neo Generation,1994-12-23
sotsugyourgraduationreal,Sotsugyō R: Graduation Real,卒業R Graduation Real,Sotsugyō R: Graduation Real,卒業R Graduation Real,1998-01-16
sparklingfeather,Sparkling Feather,スパークリングフェザー Sparkling Feather,Sparkling Feather,スパークリングフェザー Sparkling Feather,1997-04-25
superpowerleaguefx,Super Power League FX,,Super Power League FX,Super Power League FX スーパーパワーリーグFX,1996-04-26
superrealmahjongp5,Super Real Mahjong P.V FX,スーパーリアル麻雀 P.V FX,Super Real Mahjong P.V FX,スーパーリアル麻雀 P.V FX,1996-03-29
teaminnocentetponr,Team Innocent: The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel,,Team Innocent: The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel,Team Innocent チームイノセント The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel,1994-12-23
tenchimuyouryououkifx,Tenchi Muyō! Ryōōki FX (Hakua Kaikō),天地無用! 魎皇鬼 FX (白亜邂逅),Tenchi Muyō! Ryōōki FX (Hakua Kaikō),天地無用! 魎皇鬼 FX (白亜邂逅),1996-07-12
tenchimuyouryououkifx,Tenchi Muyō! Ryōōki FX (Kiyone Hōgū),天地無用! 魎皇鬼 FX (清音逢偶),Tenchi Muyō! Ryōōki FX (Kiyone Hōgū),天地無用! 魎皇鬼 FX (清音逢偶),1996-07-12
tangaimakyoudennoukarakurikakutouden,Tengai Makyō: Dennō Karakuri Kakutōden,天外魔境 電脳絡繰格闘伝,Tengai Makyō: Dennō Karakuri Kakutōden,天外魔境 電脳絡繰格闘伝,1995-07-28
tokimekicardparadisekoinoroyalstraightflush,Tokimeki Card Paradise: Koi no Royal Straight Flush,ときめきカードパラダイス 恋のロイヤルストレートフラッシュ,Tokimeki Card Paradise: Koi no Royal Straight Flush,ときめきカードパラダイス 恋のロイヤルストレートフラッシュ,1996-01-26
tonarinoprincessrolfee,Tonari no Princess Rolfee!,となりのプリンセス Rolfee!,Tonari no Princess Rolfee!,となりのプリンセス Rolfee!,1997-07-25
voiceparadise,Voice Paradise,Voice Paradise ボイスパラダイス,Voice Paradise,Voice Paradise ボイスパラダイス,1996-05-17
voiceparadise,Voice Paradise,Voice Paradise ボイスパラダイス,Voice Paradise,Voice Paradise ボイスパラダイス,1996-05-17
