name,publisher_id
Cocktail,1
Cocktail/NEC Home Electronics,2
Hudson,3
Masaya/NEC Home Electronics,4
NEC Avenue,5
NEC Home Electronics,6
NEC Interchannel,7
Naxat,8
Sonnet,9
Tokuma Shoten,10
